"hexagono","Brachymyrmex heeri","Brachymyrmex sp.","Cardiocondyla emeryi","Cardiocondyla sp.","Cyphomyrmex rimosus","Dorymyrmex antillana","Dorymyrmex sp.","Monomorium floricola","Monomorium pharaonis","Paratrechina longicornis","Paratrechina sp.","Pseudomyrmex simplex","Solenopsis geminata","Solenopsis sp.","Tetramorium bicarinatum","Tetramorium lanuginosum","Tetramorium sp.","Wasmannia auropunctata"
"H0082",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"H0091",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H0280",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"H0463",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"H0516",0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
"H0530",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"H0660",1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1
"H0756",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"H0994",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"H1183",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"H1275",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"H1315",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"H1317",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"H1373",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
