"hexagono","Brachymyrmex heeri","Camponotus ustus","Dorymyrmex antillana","Monomorium bicolor","Paratrechina longicornis","Pheidole subarmata","Pseudomyrmex sp.","Solenopsis geminata","Tetramorium bicarinatum"
"H0031",0,0,1,1,0,0,0,0,0
"H0158",1,0,0,1,1,0,0,0,0
"H0256",0,0,1,0,1,0,0,0,1
"H0303",0,0,1,0,0,0,0,0,0
"H0395",1,0,0,1,0,1,0,0,1
"H0453",1,0,1,0,1,1,0,0,1
"H0526",1,0,0,0,0,0,1,0,0
"H0636",0,0,0,0,0,0,0,1,0
"H0888",0,1,0,0,0,0,0,0,0
"H0904",0,0,0,1,0,0,0,0,0
"H0980",0,0,0,1,1,0,0,0,0
"H1011",1,0,0,0,0,0,0,0,0
"H1035",1,0,1,0,0,0,0,1,0
"H1276",1,0,0,1,1,0,0,0,0
"H1283",1,0,0,1,0,0,0,0,0
