"hexagono","Brachymyrmex heeri","Brachymyrmex obscurior","Cardiocondyla emeryi","Cardiocondyla minutior","Cyphomyrmex rimosus","Cyphomyrmex sp.","Dorymyrmex antillana","Monomorium floricola","Monomorium pharaonis","Odontomachus bauri","Paratrechina longicornis","Pheidole subarmata","Pseudomyrmex subater","Solenopsis geminata","Tapinoma litorale","Tapinoma melanocephalum","Tetramorium bicarinatum","Tetramorium caldarium","Tetramorium lanuginosum"
"H0268",1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"H0517",1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1
"H0571",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"H0647",1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
"H0736",1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1
"H0834",1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
"H0880",1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
"H0911",1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1
"H0944",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"H0956",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"H1069",1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"H1119",1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1
"H1207",1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
"H1304",0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1
"H1344",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
