"hexagono","Brachymyrmex heeri","Brachymyrmex obscurior","Cyphomyrmex rimosus","Monomorium floricola","Odontomachus insularis","Paratrechina longicornis","Solenopsis geminata","Solenopsis terricola","Tetramorium lanuginosum"
"H0274",0,0,0,1,0,0,1,0,0
"H0338",0,1,0,0,0,1,1,0,0
"H0377",0,0,0,0,0,0,1,1,0
"H0419",0,0,0,0,0,1,1,0,0
"H0423",0,0,0,0,0,1,1,0,0
"H0503",0,0,0,0,0,1,1,0,0
"H0524",0,0,0,0,0,1,1,0,1
"H0624",0,0,0,0,0,1,1,0,1
"H0995",1,0,0,0,0,1,0,0,0
"H1142",0,1,0,0,0,1,1,0,0
"H1171",0,0,0,0,0,1,1,0,0
"H1246",1,0,0,0,0,1,0,0,0
"H1415",0,0,0,0,0,1,1,0,0
"H1446",1,0,1,0,1,1,1,0,0
